time,signal
0.000000 ,0
0.000004 ,0
0.000008 ,0
0.000012 ,0
0.000016 ,0
0.000020 ,0
0.000024 ,0
0.000028 ,0
0.000032 ,0
0.000036 ,0
0.000040 ,0
0.000044 ,0
0.000048 ,0
0.000052 ,0
0.000056 ,0
0.000060 ,0
0.000064 ,0
0.000068 ,0
0.000072 ,0
0.000076 ,0
0.000080 ,0
0.000084 ,0
0.000088 ,0
0.000092 ,0
0.000096 ,0
0.000100 ,0
0.000104 ,0
0.000108 ,0
0.000112 ,0
0.000116 ,0
0.000120 ,0
0.000124 ,0
0.000128 ,0
0.000132 ,0
0.000136 ,0
0.000140 ,0
0.000144 ,0
0.000148 ,0
0.000152 ,0
0.000156 ,0
0.000160 ,0
0.000164 ,0
0.000168 ,0
0.000172 ,0
0.000176 ,0
0.000180 ,0
0.000184 ,0
0.000188 ,0
0.000192 ,0
0.000196 ,0
0.000200 ,0
0.000204 ,0
0.000208 ,0
0.000212 ,0
0.000216 ,0
0.000220 ,0
0.000224 ,0
0.000228 ,0
0.000232 ,0
0.000236 ,0
0.000240 ,0
0.000244 ,0
0.000248 ,0
0.000252 ,0
0.000256 ,0
0.000260 ,0
0.000264 ,0
0.000268 ,0
0.000272 ,0
0.000276 ,0
0.000280 ,0
0.000284 ,0
0.000288 ,0
0.000292 ,0
0.000296 ,0
0.000300 ,0
0.000304 ,0
0.000308 ,0
0.000312 ,0
0.000316 ,0
0.000320 ,0
0.000324 ,0
0.000328 ,0
0.000332 ,0
0.000336 ,0
0.000340 ,0
0.000344 ,0
0.000348 ,0
0.000352 ,0
0.000356 ,0
0.000360 ,0
0.000364 ,0
0.000368 ,0
0.000372 ,0
0.000376 ,0
0.000380 ,0
0.000384 ,0
0.000388 ,0
0.000392 ,0
0.000396 ,0
0.000400 ,0
0.000404 ,0
0.000408 ,0
0.000412 ,0
0.000416 ,0
0.000420 ,0
0.000424 ,0
0.000428 ,0
0.000432 ,0
0.000436 ,0
0.000440 ,0
0.000444 ,0
0.000448 ,0
0.000452 ,0
0.000456 ,0
0.000460 ,0
0.000464 ,0
0.000468 ,0
0.000472 ,0
0.000476 ,0
0.000480 ,0
0.000484 ,0
0.000488 ,0
0.000492 ,0
0.000496 ,0
0.000500 ,0
0.000504 ,0
0.000508 ,0
0.000512 ,0
0.000516 ,0
0.000520 ,0
0.000524 ,0
0.000528 ,0
0.000532 ,0
0.000536 ,0
0.000540 ,0
0.000544 ,0
0.000548 ,0
0.000552 ,0
0.000556 ,0
0.000560 ,0
0.000564 ,0
0.000568 ,0
0.000572 ,0
0.000576 ,0
0.000580 ,0
0.000584 ,0
0.000588 ,0
